LastName,FirstName,PrimaryEmail,Income,ExternalDataReference
Last_Name_75,Student_75,Student_75@email.edu,81000,"$81,000"
Last_Name_31,Student_31,Student_31@email.edu,84000,"$84,000"
Last_Name_35,Student_35,Student_35@email.edu,84000,"$84,000"
Last_Name_85,Student_85,Student_85@email.edu,94000,"$94,000"
Last_Name_82,Student_82,Student_82@email.edu,94000,"$94,000"
Last_Name_12,Student_12,Student_12@email.edu,95000,"$95,000"
Last_Name_29,Student_29,Student_29@email.edu,107000,"$107,000"
Last_Name_100,Student_100,Student_100@email.edu,109000,"$109,000"
Last_Name_93,Student_93,Student_93@email.edu,122000,"$122,000"
Last_Name_80,Student_80,Student_80@email.edu,128000,"$128,000"
Last_Name_52,Student_52,Student_52@email.edu,131000,"$131,000"
Last_Name_28,Student_28,Student_28@email.edu,197000,"$197,000"
Last_Name_11,Student_11,Student_11@email.edu,199000,"$199,000"
Last_Name_20,Student_20,Student_20@email.edu,203000,"$203,000"
Last_Name_69,Student_69,Student_69@email.edu,203000,"$203,000"
Last_Name_32,Student_32,Student_32@email.edu,205000,"$205,000"
Last_Name_48,Student_48,Student_48@email.edu,206000,"$206,000"
Last_Name_8,Student_8,Student_8@email.edu,209000,"$209,000"
Last_Name_21,Student_21,Student_21@email.edu,227000,"$227,000"
Last_Name_6,Student_6,Student_6@email.edu,257000,"$257,000"
Last_Name_18,Student_18,Student_18@email.edu,282000,"$282,000"
Last_Name_57,Student_57,Student_57@email.edu,285000,"$285,000"
Last_Name_99,Student_99,Student_99@email.edu,311000,"$311,000"
Last_Name_4,Student_4,Student_4@email.edu,315000,"$315,000"
Last_Name_98,Student_98,Student_98@email.edu,318000,"$318,000"
Last_Name_89,Student_89,Student_89@email.edu,336000,"$336,000"
Last_Name_62,Student_62,Student_62@email.edu,337000,"$337,000"
Last_Name_96,Student_96,Student_96@email.edu,346000,"$346,000"
Last_Name_91,Student_91,Student_91@email.edu,368000,"$368,000"
Last_Name_51,Student_51,Student_51@email.edu,387000,"$387,000"
Last_Name_13,Student_13,Student_13@email.edu,396000,"$396,000"
Last_Name_5,Student_5,Student_5@email.edu,402000,"$402,000"
Last_Name_37,Student_37,Student_37@email.edu,403000,"$403,000"
Last_Name_46,Student_46,Student_46@email.edu,448000,"$448,000"
Last_Name_41,Student_41,Student_41@email.edu,454000,"$454,000"
Last_Name_38,Student_38,Student_38@email.edu,466000,"$466,000"
Last_Name_68,Student_68,Student_68@email.edu,481000,"$481,000"
Last_Name_74,Student_74,Student_74@email.edu,616000,"$616,000"
Last_Name_40,Student_40,Student_40@email.edu,629000,"$629,000"
Last_Name_66,Student_66,Student_66@email.edu,670000,"$670,000"
Last_Name_97,Student_97,Student_97@email.edu,680000,"$680,000"
Last_Name_10,Student_10,Student_10@email.edu,771000,"$771,000"
Last_Name_16,Student_16,Student_16@email.edu,774000,"$774,000"
Last_Name_49,Student_49,Student_49@email.edu,795000,"$795,000"
Last_Name_1,Student_1,Student_1@email.edu,798000,"$798,000"
Last_Name_72,Student_72,Student_72@email.edu,833000,"$833,000"
Last_Name_94,Student_94,Student_94@email.edu,1046000,"$1,046,000"
Last_Name_54,Student_54,Student_54@email.edu,1129000,"$1,129,000"
